Date,Price
1,2493.48
2,2487.25
3,2481.02
4,2481.02
5,2474.78
6,2468.55
7,2477.96
8,2487.38
9,2487.38
10,2496.79
11,2506.2
12,2515.99
13,2525.78
14,2525.78
15,2535.57
16,2545.36
17,2549.94
18,2554.53
19,2554.53
20,2559.11
21,2563.69
22,2568.29
23,2572.9
24,2572.9
25,2577.5
26,2582.1
27,2581.56
28,2581.01
29,2581.01
30,2580.47
31,2579.92
32,2581.65
33,2583.38
34,2583.38
35,2585.1
36,2586.83
37,2585.09
38,2583.35
39,2583.35
40,2581.6
41,2579.86
42,2584.67
43,2589.48
44,2589.48
45,2594.28
46,2599.09
47,2604.12
48,2609.16
49,2609.16
50,2614.19
51,2619.22
52,2620.84
53,2622.47
54,2622.47
55,2624.09
56,2625.71
57,2634.67
58,2643.62
59,2643.62
60,2652.58
61,2661.53
62,2655.54
63,2649.55
64,2649.55
65,2643.56
66,2637.57
67,2636.44
68,2635.3
69,2635.3
70,2634.17
71,2633.03
72,2634.05
73,2635.07
74,2635.07
75,2636.08
76,2637.1
77,2644.04
78,2650.98
79,2650.98
80,2657.91
81,2664.85
82,2657.27
83,2649.69
84,2649.69
85,2642.1
86,2634.52
87,2636.14
88,2637.76
89,2637.76
90,2639.37
91,2640.99
92,2648.09
93,2655.19
94,2655.19
95,2662.29
96,2669.39
97,2675.49
98,2681.6
99,2681.6
100,2687.7
101,2693.8
102,2697.04
103,2700.29
104,2700.29
105,2703.53
106,2706.77
107,2708.05
108,2709.32
109,2709.32
110,2710.6
111,2711.87
112,2716.78
113,2721.69
114,2721.69
115,2726.6
116,2731.51
117,2731.41
118,2731.31
119,2731.31
120,2731.21
121,2731.11
122,2724.16
123,2717.2
124,2717.2
125,2710.25
126,2703.29
127,2701.21
128,2699.12
129,2699.12
130,2697.04
131,2694.95
132,2698.94
133,2702.94
134,2702.94
135,2706.93
136,2710.92
137,2717.04
138,2723.16
139,2723.16
140,2729.28
141,2735.4
142,2740.36
143,2745.32
144,2745.32
145,2750.28
146,2755.24
147,2752.57
148,2749.9
149,2749.9
150,2747.23
151,2744.56
152,2750.41
153,2756.26
154,2756.26
155,2762.1
156,2767.95
157,2770.29
158,2772.63
159,2772.63
160,2774.97
161,2777.31
162,2778.48
163,2779.64
164,2779.64
165,2780.81
166,2781.97
167,2779.75
168,2777.52
169,2777.52
170,2775.3
171,2773.07
172,2776.47
173,2779.87
174,2779.87
175,2783.26
176,2786.66
177,2791.06
178,2795.45
179,2795.45
180,2799.85
181,2804.24
182,2802.26
183,2800.27
184,2800.27
185,2798.29
186,2796.3
187,2793.59
188,2790.87
189,2790.87
190,2788.16
191,2785.44
192,2786.11
193,2786.78
194,2786.78
195,2787.45
196,2788.12
197,2790.52
198,2792.91
199,2792.91
200,2795.31
201,2797.7
202,2796.34
203,2794.99
204,2794.99
205,2793.63
206,2792.27
207,2791.63
208,2790.99
209,2790.99
210,2790.34
211,2789.7
212,2787.15
213,2784.59
214,2784.59
215,2782.04
216,2779.48
217,2772.9
218,2766.33
219,2766.33
220,2759.75
221,2753.17
222,2748.18
223,2743.19
224,2743.19
225,2738.19
226,2733.2
227,2741.35
228,2749.51
229,2749.51
230,2757.66
231,2765.81
232,2772.49
233,2779.17
234,2779.17
235,2785.85
236,2792.53
237,2797.03
238,2801.52
239,2801.52
240,2806.02
241,2810.51
242,2810.19
243,2809.87
244,2809.87
245,2809.55
246,2809.23
247,2812.11
248,2815
249,2815
250,2817.88
251,2820.76
252,2822.75
253,2824.73
254,2824.73
255,2826.72
256,2828.7
257,2830.99
258,2833.27
259,2833.27
260,2835.56
261,2837.84
262,2835.38
263,2832.91
264,2832.91
265,2830.45
266,2827.98
267,2830.7
268,2833.41
269,2833.41
270,2836.13
271,2838.84
272,2834.96
273,2831.08
274,2831.08
275,2827.19
276,2823.31
277,2816.84
278,2810.36
279,2810.36
280,2803.89
281,2797.41
282,2802.29
283,2807.17
284,2807.17
285,2812.05
286,2816.93
287,2814.36
288,2811.79
289,2811.79
290,2809.21
291,2806.64
292,2807.29
293,2807.94
294,2807.94
295,2808.59
296,2809.24
297,2813.84
298,2818.44
299,2818.44
