Date,Open,High,Low,Close,Adj Close,Volume
1/2/2019,2476.959961,2519.48999,2467.469971,2510.030029,2510.030029,3733160000
1/3/2019,2491.919922,2493.139893,2443.959961,2447.889893,2447.889893,3822860000
1/4/2019,2474.330078,2538.070068,2474.330078,2531.939941,2531.939941,4213410000
1/7/2019,2535.610107,2566.159912,2524.560059,2549.689941,2549.689941,4104710000
1/8/2019,2568.110107,2579.820068,2547.560059,2574.409912,2574.409912,4083030000
1/9/2019,2580,2595.320068,2568.889893,2584.959961,2584.959961,4052480000
1/10/2019,2573.51001,2597.820068,2562.02002,2596.639893,2596.639893,3704500000
1/11/2019,2588.110107,2596.27002,2577.399902,2596.26001,2596.26001,3434490000
1/14/2019,2580.310059,2589.320068,2570.409912,2582.610107,2582.610107,3664450000
1/15/2019,2585.100098,2613.080078,2585.100098,2610.300049,2610.300049,3572330000
1/16/2019,2614.75,2625.76001,2612.679932,2616.100098,2616.100098,3863770000
1/17/2019,2609.280029,2645.060059,2606.360107,2635.959961,2635.959961,3772270000
1/18/2019,2651.27002,2675.469971,2647.580078,2670.709961,2670.709961,3986730000
1/22/2019,2657.879883,2657.879883,2617.27002,2632.899902,2632.899902,3908030000
1/23/2019,2643.47998,2653.189941,2612.860107,2638.699951,2638.699951,3335610000
1/24/2019,2638.840088,2647.199951,2627.01001,2642.330078,2642.330078,3433250000
1/25/2019,2657.439941,2672.379883,2657.330078,2664.76001,2664.76001,3814080000
1/28/2019,2644.969971,2644.969971,2624.060059,2643.850098,2643.850098,3612810000
1/29/2019,2644.889893,2650.929932,2631.050049,2640,2640,3504200000
1/30/2019,2653.620117,2690.439941,2648.340088,2681.050049,2681.050049,3867810000
1/31/2019,2685.48999,2708.949951,2678.649902,2704.100098,2704.100098,4917650000
2/1/2019,2702.320068,2716.659912,2696.879883,2706.530029,2706.530029,3759270000
2/4/2019,2706.48999,2724.98999,2698.75,2724.870117,2724.870117,3359840000
2/5/2019,2728.340088,2738.97998,2724.030029,2737.699951,2737.699951,3560430000
2/6/2019,2735.050049,2738.080078,2724.149902,2731.610107,2731.610107,3472690000
2/7/2019,2717.530029,2719.320068,2687.26001,2706.050049,2706.050049,4099490000
2/8/2019,2692.360107,2708.070068,2681.830078,2707.879883,2707.879883,3622330000
2/11/2019,2712.399902,2718.050049,2703.790039,2709.800049,2709.800049,3361970000
2/12/2019,2722.610107,2748.189941,2722.610107,2744.72998,2744.72998,3827770000
2/13/2019,2750.300049,2761.850098,2748.629883,2753.030029,2753.030029,3670770000
2/14/2019,2743.5,2757.899902,2731.22998,2745.72998,2745.72998,3836700000
2/15/2019,2760.23999,2775.659912,2760.23999,2775.600098,2775.600098,3641370000
2/19/2019,2769.280029,2787.330078,2767.290039,2779.76001,2779.76001,3533710000
2/20/2019,2779.050049,2789.879883,2774.060059,2784.699951,2784.699951,3835450000
2/21/2019,2780.23999,2781.580078,2764.550049,2774.879883,2774.879883,3559710000
2/22/2019,2780.669922,2794.199951,2779.110107,2792.669922,2792.669922,3427810000
2/25/2019,2804.350098,2813.48999,2794.98999,2796.110107,2796.110107,3804380000
2/26/2019,2792.360107,2803.120117,2789.469971,2793.899902,2793.899902,3645680000
2/27/2019,2787.5,2795.76001,2775.129883,2792.379883,2792.379883,3767130000
2/28/2019,2788.110107,2793.72998,2782.51001,2784.48999,2784.48999,4396930000
3/1/2019,2798.219971,2808.02002,2787.379883,2803.689941,2803.689941,3972280000
3/4/2019,2814.370117,2816.879883,2767.659912,2792.810059,2792.810059,3919810000
3/5/2019,2794.409912,2796.439941,2782.969971,2789.649902,2789.649902,3585690000
3/6/2019,2790.27002,2790.27002,2768.689941,2771.449951,2771.449951,3786600000
3/7/2019,2766.530029,2767.25,2739.090088,2748.929932,2748.929932,3904860000
3/8/2019,2730.790039,2744.129883,2722.27002,2743.070068,2743.070068,3423130000
3/11/2019,2747.610107,2784,2747.610107,2783.300049,2783.300049,3749030000
3/12/2019,2787.340088,2798.320068,2786.72998,2791.52002,2791.52002,3414230000
3/13/2019,2799.780029,2821.23999,2799.780029,2810.919922,2810.919922,3766150000
3/14/2019,2810.379883,2815,2803.459961,2808.47998,2808.47998,3469730000
3/15/2019,2810.790039,2830.72998,2810.790039,2822.47998,2822.47998,5962730000
3/18/2019,2822.610107,2835.409912,2821.98999,2832.939941,2832.939941,3552190000
3/19/2019,2840.76001,2852.419922,2823.27002,2832.570068,2832.570068,3620220000
3/20/2019,2831.340088,2843.540039,2812.429932,2824.22998,2824.22998,3771200000
3/21/2019,2819.719971,2860.310059,2817.379883,2854.879883,2854.879883,3546800000
3/22/2019,2844.52002,2846.159912,2800.469971,2800.709961,2800.709961,4237200000
3/25/2019,2796.01001,2809.790039,2785.02002,2798.360107,2798.360107,3376580000
3/26/2019,2812.659912,2829.870117,2803.98999,2818.459961,2818.459961,3266050000
3/27/2019,2819.719971,2825.560059,2787.719971,2805.370117,2805.370117,3372930000
3/28/2019,2809.399902,2819.709961,2798.77002,2815.439941,2815.439941,3158170000
3/29/2019,2828.27002,2836.030029,2819.22998,2834.399902,2834.399902,3740700000
